,item,item_code
113601,فمینیسم,33639
113641,سکه,28967
113810,فمنیسم,33631
113841,فمینیست,33634
113869,استاندارد_دوگانه,13532
113902,مردان,36697
113946,موسی_علینژاد,38461
113970,آزادی,11832
114663,اعتیاد,14259
114740,اعدام,14263
115182,انسانیت,16096
115376,خشونت_علیه_مردان,23103
115395,خودکشی,23391
115564,روز_مرد,26337
115609,روز_پدر,26358
115728,سربازی,27836
115851,طلاق,31241
115907,فمنیست,33629
115951,قتل,34040
116086,مردسالاری,36708
116095,نه_به_خشونت_علیه_مردان,39769
116130,هموفوب,40781
116136,وکلا,41641
116149,چه_خبرتونه,43253
116153,ژیلت,43525
116161,کار,43556
116349,کودکان,44518
116511,اين,16428
116516,فرزندم_کجاست,33184
116526,محیط_زیست,36392
116829,M,4454
116841,تو,20150
117038,جدی,20800
117615,سیلویا_پلات,29285
117623,شبيه_من,29641
117629,نـآرِنــجے,39486
117640,نه_به_انتقال_آب_کارون,39725
117665,کاکو,43912
117710,Ahmadiyya,415
117716,2019Hopes,81
117738,Europe,2223
117840,Islam,3796
117915,Muslim,4918
117971,سید_تقی_سیدی,29081
117985,بیدل,18767
118020,تبسم,19134
118026,فروغ_فرخزاد,33371
118246,فیضی,33796
118249,محمد_سلمانی,36130
118254,TeamEXO,7061
118346,4월1일_종대가_우리에게_오나봄,180
118365,TimeToMeetCHEN,7211
118384,ChenAndAFlower,1473
118394,김종대_꽃이_피었습니다,45819
118402,엑소,45922
118605,CHEN,1292
118731,첸,45976
118813,EXO의사다리타고세계여행2,2047
118827,XIUMIN,7964
118947,어디에도_없을_완벽한_EXO,45921
118980,April_and_a_flower,576
118997,사월_그리고_꽃,45884
119016,시우민,45905
119089,Beautiful_goodbye,1000
119094,CHANYEOL,1286
119207,심포유,45912
119216,찬열,45973
119293,Art,632
119326,BAEKHYUN,767
119466,Chen,1472
119507,DO,1701
119560,EXO_TEMPO,2038
119589,Exo,2251
119617,KAI,4023
119688,KYUNGSOO,4050
119735,LoveShot,4432
119760,SUHO,6325
119865,Taiwan,7037
119874,chen,8566
119888,hustle,9461
119892,soompiawards,10829
119908,エクソ,45781
119914,백현,45868
120006,비주얼,45880
120011,사월이_지나면_우리_헤어져요,45885
120020,서핑_사다리,45888
120023,온천_게임지옥,45933
120026,Iranprotests,3771
120141,LFC,4240
120168,أردوغان,12447
120218,إيران,12499
120492,الإخوان,14547
120537,الحوثي,14799
120602,الخليج,14816
120626,العربية_عاجل,15045
120672,الملك_سلمان,15270
120716,الموت_لآل_سعود,15292
120720,امرأة,15647
120723,تركي_آل_الشيخ,19529
120728,تركيا,19533
120879,داعش,23666
121332,صفقة_القرن,30940
121348,عفرين,31889
121420,Lega,4337
121424,mafia,9886
121428,ForzaItalia,2525
121431,Berlusconi,1023
121434,ClimateEmergency,1558
121442,M5S,4456
121445,Macron,4561
121493,Merkel,4750
121522,PD,5431
121527,Pd,5662
121530,Roma,6210
121548,Salvini,6367
121558,Sicilia,6622
121562,climatechange,8606
121607,ottoemezzo,10195
121610,report,10535
121615,دختران_خیابان_انقلاب,23933
122067,صادق_لاریجانی,30728
122151,طوسی,31289
122184,براندازی,17622
122654,آخوند,11596
